abastecimientoFrecuenteEcopais;gastoCombustibleElectricidadEcopais;abastecimientoFrecuenteElectricidad;gastoCombustibleElectricidadElectricidad;abastecimientoFrecuenteGas;gastoFrecuenteGas;abastecimientoFrecuenteSuper;gastoCombustibleElectricidadSuper;abastecimientoFrecuenteExtra;gastoCombustibleElectricidadExtra;abastecimientoFrecuenteDiesel;gastoCombustibleElectricidadDiesel;id_vivienda;id_hogar;ciudad
1;120;2;0;2;0;2;0;2;0;2;0;101500104010270103;1015001040102701103;10150
0;0;0;0;0;0;0;0;0;0;0;0;101500104010270203;1015001040102702103;10150
1;80;2;0;2;0;2;0;2;0;2;0;101500104010270303;1015001040102703103;10150
0;0;0;0;0;0;0;0;0;0;0;0;101500104010270403;1015001040102704103;10150
1;20;2;0;2;0;2;0;2;0;2;0;101500104010270503;1015001040102705103;10150
0;0;0;0;0;0;0;0;0;0;0;0;101500104010270603;1015001040102706103;10150
1;80;2;0;2;0;2;0;2;0;2;0;101500104010270703;1015001040102707103;10150
1;100;2;0;2;0;2;0;2;0;2;0;101500113010320102;1015001130103201102;10150
1;120;2;0;2;0;2;0;2;0;2;0;101500113010320202;1015001130103202102;10150
1;140;2;0;2;0;2;0;2;0;2;0;101500113010320302;1015001130103203102;10150
0;0;0;0;0;0;0;0;0;0;0;0;101500113010320402;1015001130103204102;10150
0;0;0;0;0;0;0;0;0;0;0;0;101500113010320502;1015001130103205102;10150
0;0;0;0;0;0;0;0;0;0;0;0;101500113010320702;1015001130103207102;10150
1;80;2;0;2;0;2;0;2;0;2;0;101500113010320802;1015001130103208102;10150
1;60;2;0;2;0;2;0;2;0;2;0;101500114020370101;1015001140203701101;10150
0;0;0;0;0;0;0;0;0;0;0;0;101500114020370201;1015001140203702101;10150
1;20;2;0;2;0;2;0;2;0;2;0;101500114020370301;1015001140203703101;10150
0;0;0;0;0;0;0;0;0;0;0;0;101500114020370401;1015001140203704101;10150
0;0;0;0;0;0;0;0;0;0;0;0;101500114020370501;1015001140203705101;10150
0;0;0;0;0;0;0;0;0;0;0;0;101500114020370601;1015001140203706101;10150
